n_trades,win_rate,total_pnl,total_stake,roi,mean_return_pct,std_return_pct,sharpe_like,max_drawdown_pct,scenario,cut
198,0.6161616161616161,-1205.5445255027107,19800.0,-0.06088608714660155,-0.060886087146601556,0.7597407614241719,-0.08014060879459403,-3.6461173635754576,tight,overall
71,0.5211267605633803,-1363.0369625941198,7100.0,-0.1919770369850873,-0.19197703698508728,0.7951609416367746,-0.24143167368095073,-5.722762581938696,tight,tier:flagship
82,0.6463414634146342,-149.73122918222532,8200.0,-0.018259905997832355,-0.01825990599783237,0.7488526899481764,-0.024383842433811684,-2.5973207889014986,tight,tier:mid
45,0.7111111111111111,307.2236662736341,4500.0,0.06827192583858535,0.06827192583858538,0.7056092852905399,0.09675599125722091,-0.5701967100492314,tight,tier:niche
24,0.8333333333333334,569.5947350636327,2400.0,0.23733113960984695,0.2373311396098469,0.5922479979543257,0.4007293235766243,-1.2290401408057818,tight,category:Crypto
3,0.6666666666666666,-60.595376526608604,300.0,-0.20198458842202868,-0.20198458842202868,0.6919623796015518,-0.2919011125118336,-0.8602004887931232,tight,category:Economy/Business
2,1.0,47.351491594632606,200.0,0.23675745797316303,0.23675745797316303,0.05941807045459049,3.984603608999756,0.0,tight,category:Entertainment/Culture
23,0.6956521739130435,34.18105325294901,2300.0,0.01486132750128218,0.014861327501282174,0.7072146316007247,0.021013885795383967,-0.8919046235264869,tight,category:Other
4,1.0,204.65912283810542,400.0,0.5116478070952636,0.5116478070952636,0.3370350563570495,1.518084832555911,0.0,tight,category:Politics
1,0.0,-100.0,100.0,-1.0,-1.0,,,,tight,category:Science/Tech
32,0.65625,95.41654162269518,3200.0,0.02981766925709224,0.029817669257092238,0.7738142304175355,0.03853336897281301,-1.073812843238973,tight,category:Sports
109,0.5229357798165137,-1996.1520933481172,10900.0,-0.18313321957322176,-0.18313321957322182,0.7945755272366141,-0.23047931039372066,-5.011917402517172,tight,category:Sports (NBA)
198,0.6161616161616161,-1934.188216060868,19800.0,-0.09768627353842767,-0.09768627353842768,0.7298961680526892,-0.13383584928120348,-5.296867968094353,wide,overall
71,0.5211267605633803,-1452.2210285340493,7100.0,-0.2045381730329647,-0.2045381730329647,0.782390967155173,-0.2614270634752846,-6.1456495130252415,wide,tier:flagship
82,0.6463414634146342,-449.11946552343375,8200.0,-0.05477066652724802,-0.054770666527248026,0.7198334965945032,-0.07608796587872799,-3.7005564413647845,wide,tier:mid
45,0.7111111111111111,-32.84772200338469,4500.0,-0.007299493778529931,-0.007299493778529936,0.6536900415042217,-0.011166597798756268,-1.0089862213248622,wide,tier:niche
24,0.8333333333333334,404.35648663333825,2400.0,0.1684818694305576,0.16848186943055762,0.5549953634336822,0.30357347201638374,-1.458476939481025,wide,category:Crypto
3,0.6666666666666666,-71.02200916057596,300.0,-0.2367400305352532,-0.2367400305352532,0.661177319524053,-0.358058305305557,-0.8852004887931232,wide,category:Economy/Business
2,1.0,32.93182649701116,200.0,0.1646591324850558,0.1646591324850558,0.05269917561176696,3.1245105938296653,0.0,wide,category:Entertainment/Culture
23,0.6956521739130435,-92.76437490847405,2300.0,-0.04033233691672785,-0.04033233691672785,0.6661647775265718,-0.06054408500323193,-1.21346595740072,wide,category:Other
4,1.0,195.3291026834939,400.0,0.4883227567087347,0.4883227567087348,0.3271082991729093,1.4928473473264205,0.0,wide,category:Politics
1,0.0,-100.0,100.0,-1.0,-1.0,,,,wide,category:Science/Tech
32,0.65625,-63.81397616859566,3200.0,-0.019941867552686142,-0.01994186755268614,0.7358950083011687,-0.027098794430909946,-1.4586771536172793,wide,category:Sports
109,0.5229357798165137,-2239.2052716370654,10900.0,-0.20543167629697848,-0.20543167629697848,0.772800584271493,-0.26582753750197496,-6.394727882957447,wide,category:Sports (NBA)
