category,n_markets,pct_never_converged_90,median_hours_to_converge_90,p25_hours_to_converge_90,p75_hours_to_converge_90,pct_reverted_after_90,pct_in_uncertain_band_last6h,pct_in_uncertain_band_last1h,median_max_abs_move_last6h
Crypto,31.0,0.0,2.357222222222222,0.02763888888888889,37.849444444444444,35.483870967741936,61.29032258064516,35.483870967741936,0.16500000000000004
Economy/Business,20.0,0.0,71.99180555555554,71.98756944444445,71.99506944444445,15.0,0.0,0.0,0.0020000000000000018
Entertainment/Culture,3.0,0.0,5.114166666666667,3.100277777777778,38.54958333333333,0.0,66.66666666666666,0.0,0.25
Other,45.0,0.0,27.14388888888889,3.007222222222222,71.98944444444444,48.888888888888886,26.666666666666668,2.2222222222222223,0.0025000000000000577
Politics,28.0,0.0,71.99111111111111,71.98736111111111,71.99666666666667,10.714285714285714,0.0,0.0,0.0
Science/Tech,2.0,0.0,38.337777777777774,21.511111111111113,55.16444444444444,0.0,50.0,0.0,0.245
Sports,45.0,0.0,3.5230555555555556,2.3433333333333333,71.98583333333333,26.666666666666668,51.11111111111111,0.0,0.16999999999999998
