liquidity_tier,n_markets,pct_never_converged_90,median_hours_to_converge_90,p25_hours_to_converge_90,p75_hours_to_converge_90,pct_reverted_after_90,pct_in_uncertain_band_last6h,pct_in_uncertain_band_last1h,median_max_abs_move_last6h
flagship,62.0,0.0,71.99097222222221,71.98583333333333,71.99472222222222,12.903225806451612,3.225806451612903,0.0,0.0010000000000000009
mid,61.0,0.0,7.779166666666667,2.7744444444444443,71.98944444444444,34.42622950819672,37.704918032786885,0.0,0.009000000000000008
niche,51.0,0.0,2.493888888888889,0.3476388888888889,5.214583333333334,43.13725490196079,62.745098039215684,23.52941176470588,0.21950000000000003
